method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score,confusion_matrix,confusion_matrix_percentage,roc_curve
MultinomialNBC,Naive Bayes classifier for multinomial models,19.295499801635742,1.6937615871429443,391,397,103,109,0.782,0.794,0.791497975708502,0.788,0.21199999999999997,0.7867203219315895,1.1806080717441922,"<a href=""./images/8ed99657-4e43-11ec-ae03-68f728e1134a.png""><img src=""./images/8ed99657-4e43-11ec-ae03-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8f00e22d-4e43-11ec-b673-68f728e1134a.png""><img src=""./images/8f00e22d-4e43-11ec-b673-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8eb2af19-4e43-11ec-8dd5-68f728e1134a.png""><img src=""./images/8eb2af19-4e43-11ec-8dd5-68f728e1134a.png"" width=200 height=200 /></a>"
ComplementNBC,The Complement Naive Bayes classifier described in Rennie et al,19.37809157371521,1.7649083137512207,391,397,103,109,0.782,0.794,0.791497975708502,0.788,0.21199999999999997,0.7867203219315895,1.1806080717441922,"<a href=""./images/6a3222e2-4e43-11ec-96bc-68f728e1134a.png""><img src=""./images/6a3222e2-4e43-11ec-96bc-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/6a4c506a-4e43-11ec-b2b1-68f728e1134a.png""><img src=""./images/6a4c506a-4e43-11ec-b2b1-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/6a0f9b40-4e43-11ec-b094-68f728e1134a.png""><img src=""./images/6a0f9b40-4e43-11ec-b094-68f728e1134a.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),18.046813249588013,9.955467700958252,374,412,88,126,0.748,0.824,0.8095238095238095,0.786,0.21399999999999997,0.7775467775467776,1.172815489351938,"<a href=""./images/81018e04-4e43-11ec-b35c-68f728e1134a.png""><img src=""./images/81018e04-4e43-11ec-b35c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/811f2a59-4e43-11ec-83bf-68f728e1134a.png""><img src=""./images/811f2a59-4e43-11ec-83bf-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/80dbb68a-4e43-11ec-9286-68f728e1134a.png""><img src=""./images/80dbb68a-4e43-11ec-9286-68f728e1134a.png"" width=200 height=200 /></a>"
Xception,,643.2259328365326,130.02999353408813,371,413,87,129,0.742,0.826,0.8100436681222707,0.784,0.21599999999999997,0.7745302713987473,1.1664324654745637,"<a href=""./images/f2cd8662-4eba-11ec-b986-68f728e1134a.png""><img src=""./images/f2cd8662-4eba-11ec-b986-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f2ea8f8b-4eba-11ec-8466-68f728e1134a.png""><img src=""./images/f2ea8f8b-4eba-11ec-8466-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f2fc2056-4eba-11ec-a4a1-68f728e1134a.png""><img src=""./images/f2fc2056-4eba-11ec-a4a1-68f728e1134a.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,28.253478527069092,2.853844404220581,418,349,151,82,0.836,0.698,0.7346221441124781,0.767,0.23299999999999998,0.7820392890551916,1.123766408295067,"<a href=""./images/5c2c15c4-4e43-11ec-af44-68f728e1134a.png""><img src=""./images/5c2c15c4-4e43-11ec-af44-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/5c57a72c-4e43-11ec-b892-68f728e1134a.png""><img src=""./images/5c57a72c-4e43-11ec-b892-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/5c0323ae-4e43-11ec-bff4-68f728e1134a.png""><img src=""./images/5c0323ae-4e43-11ec-bff4-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet50V2,,492.4775550365448,99.67266726493835,430,336,164,70,0.86,0.672,0.7239057239057239,0.766,0.23399999999999999,0.7861060329067642,1.122594016194382,"<a href=""./images/d467aebc-4eaf-11ec-b69c-68f728e1134a.png""><img src=""./images/d467aebc-4eaf-11ec-b69c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d48a52ac-4eaf-11ec-8487-68f728e1134a.png""><img src=""./images/d48a52ac-4eaf-11ec-8487-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d49d8796-4eaf-11ec-b5ff-68f728e1134a.png""><img src=""./images/d49d8796-4eaf-11ec-b5ff-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet152V2,,1310.3687996864319,267.2368824481964,295,431,69,205,0.59,0.862,0.8104395604395604,0.726,0.274,0.6828703703703702,1.0052426448787761,"<a href=""./images/d484bf24-4eac-11ec-a446-68f728e1134a.png""><img src=""./images/d484bf24-4eac-11ec-a446-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d4a1714a-4eac-11ec-a4c4-68f728e1134a.png""><img src=""./images/d4a1714a-4eac-11ec-a4c4-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d4b2976a-4eac-11ec-b06a-68f728e1134a.png""><img src=""./images/d4b2976a-4eac-11ec-b06a-68f728e1134a.png"" width=200 height=200 /></a>"
InceptionV3,,337.7086253166199,70.9712290763855,207,474,26,293,0.414,0.948,0.8884120171673819,0.681,0.31899999999999995,0.5648021828103683,0.8890219169463738,"<a href=""./images/606dc566-4e9e-11ec-8a18-68f728e1134a.png""><img src=""./images/606dc566-4e9e-11ec-8a18-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/608d2ba8-4e9e-11ec-96d3-68f728e1134a.png""><img src=""./images/608d2ba8-4e9e-11ec-96d3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/609f6d9b-4e9e-11ec-8735-68f728e1134a.png""><img src=""./images/609f6d9b-4e9e-11ec-8735-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet101V2,,878.8831732273102,178.6090383529663,6,500,0,494,0.012,1.0,1.0,0.506,0.494,0.023715415019762848,0.4660868573074523,"<a href=""./images/22079e16-4ea5-11ec-a893-68f728e1134a.png""><img src=""./images/22079e16-4ea5-11ec-a893-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2223a170-4ea5-11ec-a27a-68f728e1134a.png""><img src=""./images/2223a170-4ea5-11ec-a27a-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/22348d05-4ea5-11ec-8c96-68f728e1134a.png""><img src=""./images/22348d05-4ea5-11ec-8c96-68f728e1134a.png"" width=200 height=200 /></a>"
InceptionResNetV2,,735.5370318889618,151.82575106620789,0,500,0,500,0.0,1.0,0.0,0.5,0.5,0.0,0.35000000000000003,"<a href=""./images/6a10e695-4e9d-11ec-80df-68f728e1134a.png""><img src=""./images/6a10e695-4e9d-11ec-80df-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/6a2d87ac-4e9d-11ec-9b58-68f728e1134a.png""><img src=""./images/6a2d87ac-4e9d-11ec-9b58-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/6a3ea1be-4e9d-11ec-af0d-68f728e1134a.png""><img src=""./images/6a3ea1be-4e9d-11ec-af0d-68f728e1134a.png"" width=200 height=200 /></a>"
